T,p,q
1633707510,209.71,1
1633707522,209.75,1
1633707540,209.84,2
1633707545,209.78,1
1633707584,209.79,1
1633707588,209.8,3
1633707594,209.8,2
1633707625,209.68,1
1633707635,209.66,5
1633707650,209.67,3
1633707677,209.68,1
1633707680,209.67,1
1633707726,209.68,3
1633707727,209.68,1
1633707736,209.71,4
1633707744,209.71,3
1633707758,209.73,3
1633707759,209.73,9
1633707785,209.67,3
1633707785,209.67,2
1633707788,209.68,1
1633707838,209.65,1
1633707844,209.6,10
1633707856,209.6,3
1633707867,209.57,10
1633707868,209.51,1
1633707871,209.44,7
1633707881,209.48,4
1633707890,209.46,1
1633707914,209.49,21
1633707915,209.49,1
1633707917,209.5,2
1633707929,209.55,6
1633707930,209.55,3
1633707933,209.6,1
1633707935,209.54,5
1633707946,209.48,4
1633707954,209.56,3
1633707961,209.44,1
1633707963,209.4,6
1633707964,209.42,1
1633707970,209.36,2
1633707973,209.4,1
1633707993,209.59,2
1633707993,209.59,2
1633707996,209.59,1
1633707998,209.61,1
1633708000,209.58,9
1633708004,209.61,2
1633708005,209.61,1
1633708019,209.67,3
1633708019,209.67,1
1633708020,209.64,1
1633708029,209.62,10
1633708031,209.6,1
1633708043,209.6,2
1633708045,209.6,1
1633708067,209.58,7
1633708098,209.51,6
1633708098,209.51,4
1633708101,209.49,1
1633708109,209.55,3
1633708112,209.5,1
1633708136,209.6,1
1633708159,209.61,9
1633708159,209.61,3
1633708169,209.62,1
1633708186,209.55,1
1633708232,209.41,1
1633708233,209.43,5
1633708236,209.4,1
1633708264,209.29,1
1633708281,209.27,1
1633708285,209.25,4
1633708295,209.35,1
1633708299,209.34,2
1633708304,209.44,1
1633708306,209.42,3
1633708310,209.46,1
1633708311,209.44,4
1633708317,209.4,1
1633708326,209.48,4
1633708327,209.48,1
1633708331,209.49,2
1633708339,209.43,1
1633708342,209.42,1
1633708347,209.4,1
1633708363,209.41,4
1633708366,209.41,1
1633708375,209.45,1
1633708376,209.46,1
1633708379,209.49,1
1633708382,209.51,3
1633708388,209.59,1
1633708398,209.52,3
1633708410,209.45,8
1633708445,209.39,2
1633708446,209.38,4
1633708513,209.35,14
1633708519,209.35,1
1633708530,209.37,1
1633708532,209.36,1
1633708575,209.4,3
1633708588,209.41,5
1633708607,209.42,1
1633708648,209.38,1
1633708687,209.28,1
1633708711,209.3,1
1633708714,209.29,1
1633708736,209.4,1
1633708747,209.41,5
1633708804,209.35,1
1633708815,209.45,3
1633708820,209.49,1
1633708830,209.43,4
1633708831,209.43,1
1633708846,209.45,3
1633708868,209.3,3
1633708868,209.3,1
1633708877,209.28,1
1633708891,209.25,2
1633708892,209.25,1
1633708895,209.25,1
1633708903,209.18,1
1633708906,209.16,1
1633708906,209.16,4
1633708922,209.23,1
1633708928,209.25,2
1633708936,209.26,4
1633708942,209.31,1
1633708945,209.33,2
1633708949,209.27,1
1633708956,209.31,2
1633708962,209.27,1
1633708978,209.37,3
1633708983,209.37,5
1633708983,209.37,3
1633709010,209.37,9
1633709024,209.36,1
1633709042,209.55,3
1633709056,209.51,1
1633709060,209.57,1
1633709074,209.62,21
1633709075,209.62,1
1633709080,209.59,1
1633709086,209.59,12
1633709087,209.59,1
1633709098,209.6,1
1633709108,209.61,4
1633709120,209.63,3
1633709121,209.63,2
1633709121,209.63,1
1633709139,209.65,10
1633709143,209.6,2
1633709144,209.6,1
1633709150,209.59,1
1633709160,209.59,1
1633709168,209.63,9
1633709176,209.61,2
1633709194,209.67,9
1633709216,209.62,2
1633709222,209.65,5
1633709227,209.63,9
1633709251,209.6,1
1633709255,209.6,10
1633709255,209.6,1
1633709273,209.57,3
1633709274,209.63,1
1633709292,209.68,5
1633709301,209.65,9
1633709315,209.74,6
1633709315,209.74,1
1633709321,209.71,2
1633709327,209.71,1
1633709377,209.7,1
1633709378,209.7,9
1633709387,209.68,2
1633709388,209.68,1
1633709398,209.69,9
1633709407,209.69,1
1633709426,209.68,10
1633709427,209.68,1
1633709450,209.6,3
1633709455,209.56,10
1633709476,209.56,19
1633709491,209.63,5
1633709499,209.64,8
1633709499,209.64,1
1633709514,209.56,1
1633709522,209.51,2
1633709524,209.5,1
1633709587,209.41,2
1633709603,209.52,3
1633709604,209.52,1
1633709605,209.52,5
1633709606,209.5,1
1633709609,209.51,5
1633709657,209.64,2
1633709667,209.65,4
1633709670,209.65,3
1633709679,209.64,6
1633709688,209.68,4
1633709734,209.49,3
1633709744,209.45,4
1633709748,209.45,1
1633709755,209.54,9
1633709769,209.55,1
1633709780,209.61,3
1633709801,209.57,2
1633709848,209.37,1
1633709854,209.37,2
1633709871,209.41,3
1633709887,209.45,1
1633709944,209.45,1
1633709972,209.37,3
1633709987,209.33,1
1633709992,209.37,3
1633709993,209.41,2
1633709997,209.36,1
1633710028,209.43,1
